X,Y,Theta
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.74,
0.01,-0.75,
0.01,-0.75,
0.01,-0.75,
0.01,-0.75,
0.0,-0.75,
0.0,-0.75,
0.0,-0.76,
-0.0,-0.76,
-0.0,-0.76,
-0.01,-0.76,
-0.01,-0.76,
-0.01,-0.76,
-0.01,-0.77,
-0.01,-0.77,
-0.02,-0.77,
-0.02,-0.77,
-0.02,-0.77,
-0.02,-0.77,
-0.03,-0.77,
-0.03,-0.77,
-0.03,-0.77,
-0.03,-0.77,
-0.04,-0.78,
-0.04,-0.78,
-0.04,-0.78,
-0.04,-0.78,
-0.05,-0.78,
-0.05,-0.78,
-0.05,-0.78,
-0.05,-0.78,
-0.06,-0.78,
-0.06,-0.78,
-0.06,-0.78,
-0.07,-0.78,
-0.07,-0.78,
-0.07,-0.78,
-0.07,-0.78,
-0.08,-0.78,
-0.08,-0.78,
-0.08,-0.78,
-0.08,-0.78,
-0.09,-0.78,
-0.09,-0.77,
-0.09,-0.77,
-0.09,-0.77,
-0.1,-0.77,
-0.1,-0.77,
-0.1,-0.77,
-0.1,-0.77,
-0.11,-0.77,
-0.11,-0.77,
-0.11,-0.76,
-0.11,-0.76,
-0.11,-0.76,
-0.12,-0.76,
-0.12,-0.76,
-0.12,-0.76,
-0.12,-0.75,
-0.12,-0.75,
-0.13,-0.75,
-0.13,-0.75,
-0.13,-0.75,
-0.13,-0.75,
-0.13,-0.74,
-0.13,-0.74,
-0.14,-0.74,
-0.14,-0.74,
-0.14,-0.73,
-0.14,-0.73,
-0.14,-0.73,
-0.14,-0.73,
-0.15,-0.72,
-0.15,-0.72,
-0.15,-0.71,
-0.15,-0.71,
-0.15,-0.7,
-0.16,-0.7,
-0.16,-0.69,
-0.16,-0.69,
-0.16,-0.68,
-0.16,-0.68,
-0.17,-0.68,
-0.17,-0.67,
-0.17,-0.67,
-0.17,-0.66,
-0.18,-0.66,
-0.18,-0.65,
-0.18,-0.65,
-0.18,-0.64,
